episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
0,1029,19484.912944546377,40,25,1,98,3110.0000000000036,1.1597019760285066,87.81341107871721,2.57207644962747,2.1120829284094587,6.342727567217364
1,1191,25192.627612422802,40,28,2,96,1908.0000000000025,0.3848306745032185,92.28939266722642,1.609291911558914,4.680940386230059,1.035544360481388
2,975,17707.98453716008,40,24,2,96,3278.000000000001,0.25641025641025644,88.83333333333333,2.846153846153846,1.5705128205128205,6.493589743589744
3,1309,29106.976644064325,40,18,1,98,4187.013457178954,0.3159941662615459,91.69386762969651,1.3056462254323218,1.0035419126328218,5.680950065976804
4,1269,26941.661019873394,40,28,1,98,1993.9999999999964,0.2692408720777515,91.60756501182033,3.5920672445495136,1.8452850013133701,2.685841870239033
5,1465,33747.16084135548,40,23,3,94,4188.000000000001,0.6344107608913875,90.63240313190123,1.5097370006022885,0.9596466572977312,6.263802449307368
6,1561,37195.26446363822,40,28,1,98,1624.0000000000014,0.06406149903907753,96.30578688874654,1.4253683536194748,1.37198377108691,0.8327994875080076
7,1160,23547.79759987952,40,22,1,98,3409.9999999999977,0.6082375478927204,91.05842911877396,1.9444444444444446,5.6130268199233715,0.7758620689655172
8,1228,26208.259443025116,40,22,2,96,2816.0000000000014,0.41621425986246835,92.8564965617083,1.3255519363011221,0.7736156351791532,4.628121606948969
9,1245,25991.69397480944,40,30,2,96,2128.000000000001,0.7389558232931726,90.33734939759034,1.7429718875502005,6.064257028112451,1.1164658634538152
10,1062,21795.4455210888,40,23,1,98,3860.0,0.9416195856873821,88.37930652486983,2.1269524759056164,1.3515010523983604,7.200620361138807
11,1170,24626.533987735038,40,27,0,100,1893.9999999999986,0.8152531229454306,92.49835634451017,2.307692307692308,3.1032215647600268,1.2754766600920449
12,969,17697.74815704547,40,21,1,98,3692.0,0.22812449079354732,87.83879202650589,3.3784150779425346,2.1345934495681926,6.420074955189833
13,1048,20149.616835620298,40,23,1,98,4051.999999999999,0.5107768298158958,87.57296811854512,2.553884149079479,1.055231252806466,8.307139649753031
14,1446,32544.17570805683,40,30,5,90,1828.0000000000011,0.4218533886583679,93.015214384509,0.9958506224066389,0.6639004149377594,4.903181189488244
15,1269,27180.757611255503,40,28,2,96,1906.000000000002,0.07880220646178093,94.39190964013659,2.2852639873916467,0.8536905700026267,2.390333596007355
16,1291,27691.252154852755,40,30,2,96,2858.0000000000055,0.8907823392718822,87.0875290472502,2.865995352439969,1.8435321456235478,7.3121611154144075
17,1013,18105.3580624868,40,26,2,96,3501.9999999999995,0.500634607248625,88.03412776759271,2.4538146946834014,7.70695247496827,1.3044704555069804
18,1299,26468.827658144597,40,32,6,88,1324.0,1.809083910700539,92.20554272517323,1.424172440338722,0.6735950731331793,3.88760585065435
19,1119,22529.871269439253,40,25,1,98,3901.999999999991,0.7447125409591897,87.20881739648495,2.806076854334227,2.210306821566875,7.030086386654752
20,880,16085.776646591663,40,20,0,100,3941.999999999997,0.3977272727272727,87.69318181818181,3.375,1.1079545454545454,7.426136363636363
21,1694,41881.28705722966,40,26,1,98,2364.0000000000064,0.07589812784617977,94.3202900995109,1.766739753752741,0.6957328385899815,3.1413391803002195
22,1215,25281.0253090412,40,28,3,94,2726.000000000004,0.9396433470507546,88.27846364883402,2.3731138545953363,5.411522633744856,2.9972565157750344
